City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Itarema,BR,-2.9248,-39.9167,79.29,87,19,11.34,moderate rain
235,Baracoa,CU,20.3467,-74.4958,84.97,60,47,5.28,scattered clouds
236,Luwuk,ID,-0.9516,122.7875,77.88,88,100,2.3,overcast clouds
237,Cap Malheureux,MU,-19.9842,57.6142,79.47,81,31,10.0,scattered clouds
238,Tari,NG,12.4086,4.4914,93.42,8,100,6.08,overcast clouds
239,Axim,GH,4.8699,-2.2405,81.97,86,100,10.85,overcast clouds
240,Xuddur,SO,4.1213,43.8894,81.86,50,30,13.76,scattered clouds
241,San Quintin,MX,30.4833,-115.95,63.66,58,30,11.36,scattered clouds
242,Mahebourg,MU,-20.4081,57.7,79.25,83,75,11.5,broken clouds
243,Brand-Erbisdorf,DE,50.8667,13.3333,34.12,89,85,10.27,overcast clouds
244,Kavieng,PG,-2.5744,150.7967,80.69,78,100,4.63,light rain
245,Kutum,SD,14.2,24.6667,79.27,11,100,9.73,overcast clouds
246,Kruisfontein,ZA,-34.0033,24.7314,60.89,84,89,1.66,overcast clouds
247,Solnechnyy,RU,50.7214,136.6319,33.6,82,100,7.63,overcast clouds
248,Bilibino,RU,68.0546,166.4372,-7.46,95,49,4.34,scattered clouds
249,Mungwi,ZM,-10.1732,31.3694,62.96,93,100,1.66,light rain
250,Huarmey,PE,-10.0681,-78.1522,74.97,73,18,11.99,few clouds
251,Marienburg,PL,54.0359,19.0266,33.89,61,77,5.91,broken clouds
252,Barra,BR,-11.0894,-43.1417,90.52,37,68,9.06,broken clouds
253,Barabinsk,RU,55.3571,78.357,33.15,100,100,6.11,overcast clouds
254,Martapura,ID,-3.4167,114.85,75.29,100,40,3.44,scattered clouds
255,Silver City,US,32.7701,-108.2803,68.67,17,0,11.5,clear sky
256,Lere,NG,10.387,8.5726,84.56,16,100,3.91,overcast clouds
257,Candolim,IN,15.5181,73.7626,80.29,78,76,5.23,broken clouds
258,Talnakh,RU,69.4865,88.3972,-0.22,98,86,5.95,overcast clouds
259,Asau,RO,46.4333,26.4,32.92,93,100,1.21,light snow
260,Chumphon,TH,10.3333,98.8333,70.32,93,97,2.59,light rain
261,Geraldton,AU,-28.7667,114.6,72.01,88,75,16.11,broken clouds
262,Linxia,CN,35.6003,103.2064,45.39,49,95,2.86,overcast clouds
263,Korgen,NO,66.0771,13.8153,28.72,98,100,3.22,light snow
264,Aklavik,CA,68.2191,-135.0107,-6.16,87,100,10.65,overcast clouds
265,Liverpool,GB,53.4106,-2.9779,46.35,70,20,9.22,few clouds
266,Nouadhibou,MR,20.931,-17.0347,64.98,86,0,11.74,clear sky
267,Pangnirtung,CA,66.1451,-65.7125,29.48,89,100,4.16,overcast clouds
268,Lazo,RU,43.3817,133.9014,33.39,76,3,2.98,clear sky
269,Sernur,RU,56.9333,49.1536,31.95,97,100,12.1,overcast clouds
270,Sorong,ID,-0.8833,131.25,78.03,87,100,5.5,overcast clouds
271,La Palma,US,33.8464,-118.0467,70.29,65,100,5.75,overcast clouds
272,Kilkenny,IE,52.6542,-7.2522,49.17,75,100,10.02,overcast clouds
273,Caravelas,BR,-17.7125,-39.2481,80.02,68,0,6.64,clear sky
274,Jiwani,PK,25.05,61.7417,78.22,72,6,1.99,clear sky
275,Bauchi,NG,10.5,10.0,82.69,7,100,4.05,overcast clouds
276,Clyde River,CA,70.4692,-68.5914,12.67,94,50,4.05,scattered clouds
277,Chulym,RU,55.0997,80.9572,33.01,100,100,5.01,overcast clouds
278,Pevek,RU,69.7008,170.3133,-19.73,96,24,2.28,few clouds
279,Nizwa,OM,22.9333,57.5333,77.72,26,0,6.04,clear sky
280,Kudahuvadhoo,MV,2.6708,72.8944,82.8,63,8,0.94,clear sky
281,Necochea,AR,-38.5473,-58.7368,55.35,66,100,24.38,overcast clouds
282,Cabra,ES,37.4725,-4.4421,45.99,73,100,3.85,overcast clouds
283,Mount Gambier,AU,-37.8333,140.7667,46.31,100,38,5.75,mist
284,Aksarka,RU,66.5606,67.7975,13.64,84,100,11.48,overcast clouds
285,Clovis,US,36.8252,-119.7029,76.84,40,40,6.91,scattered clouds
286,Kambove,CD,-10.8764,26.5969,62.04,95,100,1.92,light rain
287,Kostelec Nad Cernymi Lesy,CZ,49.994,14.8592,31.15,64,12,6.29,few clouds
288,Faya,SA,18.3851,42.4509,63.12,26,85,3.67,overcast clouds
289,Puerto Escondido,MX,15.85,-97.0667,85.03,79,0,9.22,clear sky
290,Saint George,US,37.1041,-113.5841,74.62,21,0,5.75,clear sky
291,Sherwood,US,34.8151,-92.2243,73.98,36,20,11.01,few clouds
292,Nemuro,JP,43.3236,145.575,35.28,82,0,14.72,clear sky
293,Tiznit,MA,29.5833,-9.5,58.93,59,50,4.0,scattered clouds
294,Olinda,BR,-8.0089,-34.8553,82.13,78,40,12.66,scattered clouds
295,Victoria,HK,22.2855,114.1577,65.25,61,0,11.99,clear sky
296,Waipawa,NZ,-41.4122,175.5153,53.38,86,14,2.66,few clouds
297,Batemans Bay,AU,-35.7167,150.1833,63.1,62,100,6.31,light rain
298,Yokadouma,CM,3.5167,15.05,72.0,89,92,3.29,light rain
299,Salalah,OM,17.0151,54.0924,78.89,89,0,2.3,clear sky
300,Cadillac,US,44.2519,-85.4012,44.51,57,100,6.91,overcast clouds
301,Pacific Grove,US,36.6177,-121.9166,66.2,75,0,10.36,clear sky
302,Chatellerault,FR,46.8,0.5333,36.55,61,17,7.02,few clouds
303,Batatais,BR,-20.8911,-47.585,84.18,82,66,3.09,broken clouds
304,Kedrovyy,RU,56.1667,91.8167,21.61,96,100,3.13,overcast clouds
305,Jamsa,FI,61.8642,25.19,27.32,92,100,3.96,overcast clouds
306,Caucaia,BR,-3.7361,-38.6531,83.03,75,40,12.66,scattered clouds
307,Chimbarongo,CL,-34.7,-71.05,69.73,25,0,9.48,clear sky
308,Alofi,NU,-19.0595,-169.9187,80.49,78,75,6.91,broken clouds
309,Uyuni,BO,-20.4597,-66.825,56.53,19,8,17.18,clear sky
310,Norman Wells,CA,65.282,-126.8329,2.77,89,100,6.64,overcast clouds
311,Zhezkazgan,KZ,47.8043,67.7144,51.46,45,100,9.04,overcast clouds
312,Lom Sak,TH,16.7798,101.2422,72.48,48,100,4.45,overcast clouds
313,Lazaro Cardenas,MX,17.9583,-102.2,80.58,58,60,9.91,broken clouds
314,Malabo,GQ,3.75,8.7833,81.54,80,40,8.1,scattered clouds
315,Turayf,SA,31.6725,38.6637,72.09,14,100,8.25,overcast clouds
316,Namibe,AO,-15.1961,12.1522,70.88,80,100,8.79,overcast clouds
317,San Cristobal,VE,7.7669,-72.225,82.58,49,43,6.51,scattered clouds
318,Acapulco,MX,16.8634,-99.8901,82.22,65,40,11.5,scattered clouds
319,Los Lunas,US,34.8062,-106.7334,77.04,15,94,8.01,overcast clouds
320,Santa Rosa,PH,14.3122,121.1114,80.02,74,86,10.38,overcast clouds
321,Shenjiamen,CN,29.9576,122.298,50.4,63,34,6.26,scattered clouds
322,Tuy Hoa,VN,13.0833,109.3,71.15,91,100,11.9,overcast clouds
323,Attur,IN,11.6,78.6167,77.49,83,100,4.47,overcast clouds
324,Carnarvon,AU,-24.8667,113.6333,77.07,83,40,11.5,scattered clouds
325,Alyangula,AU,-13.8483,136.4192,81.21,67,31,7.7,scattered clouds
326,Lavrentiya,RU,65.5833,-171.0,-8.03,89,22,11.16,few clouds
327,Saint Anthony,US,45.0205,-93.218,42.73,74,100,11.5,mist
328,Labuhan,ID,-6.8844,112.2051,75.49,90,100,9.31,overcast clouds
329,Amalapuram,IN,16.5833,82.0167,76.33,95,15,2.64,few clouds
